DelayToEnqueue	DeltaEnqueue	QueueDelay	DeltaDequeue	FrameSize	Buffer	RemotePort	LocalPort
10945	126	16	126	124796	0	50634	48003
10794	16	15	15	125192	0	50633	48002
10509	15	16	16	123932	0	50632	48001
10241	266	16	266	124634	0	50635	48004

10107	65	15	64	124670	0	50634	48003
9902	62	16	63	124742	0	50632	48001
10150	47	16	47	124661	0	50633	48002
9939	156	16	156	124544	0	50634	48003
10004	32	15	31	124220	0	50635	48004
9971	234	16	235	125003	0	50632	48001
9552	47	16	47	124391	0	50634	48003
9683	31	16	31	124256	1	50635	48004
10182	0	31	15	124112	0	50633	48002
9278	329	15	313	124733	0	50635	48004
9159	15	16	16	124706	0	50634	48003

9910	50	14	48	124004	0	50633	48002
9657	14	26	26	125120	0	50632	48001
9278	354	16	344	125327	0	50635	48004
9344	32	15	31	124751	1	50632	48001
9377	0	31	16	124283	1	50633	48002
9092	15	31	15	125201	0	50634	48003
9021	297	16	282	124814	0	50633	48002
8402	47	16	47	124031	0	50635	48004
9066	31	16	31	124391	0	50632	48001
8505	205	15	204	125291	0	50634	48003
8354	15	16	16	124841	0	50633	48002

8442	188	15	187	124859	0	50632	48001
8405	31	16	32	125453	0	50635	48004
8297	125	16	125	123932	0	50633	48002
8355	125	16	125	124706	0	50635	48004
8604	16	15	15	124634	0	50634	48003
8419	15	16	16	124310	0	50632	48001
8230	344	16	344	124418	0	50635	48004
8446	16	15	15	124121	0	50633	48002
8361	15	16	16	124976	0	50632	48001
8775	47	16	47	125201	0	50634	48003

8536	328	16	328	124616	0	50632	48001
8386	16	16	16	124850	0	50635	48004
8647	62	16	62	125309	0	50633	48002
8697	16	16	16	125012	0	50634	48003
8296	266	15	265	124670	0	50635	48004
8439	109	16	110	124796	0	50632	48001
8689	16	15	15	124112	0	50634	48003
8637	15	16	16	124958	0	50633	48002

8117	313	15	312	124778	0	50635	48004
8529	47	15	47	124769	0	50634	48003
8443	47	15	47	124337	0	50633	48002
8290	46	18	49	125246	0	50632	48001
5866	376	16	374	124445	0	50631	48000
8180	47	16	47	124553	1	50635	48004
8546	0	31	15	124868	0	50633	48002
8611	31	16	16	124247	0	50634	48003
8540	63	16	63	124517	0	50632	48001
6198	125	16	125	124958	1	50635	48004
6099	0	31	15	124022	0	50631	48000
5956	125	16	110	124742	0	50631	48000

