Size	BytesSoFar	DeltaCreationEnqueue	DeltaEnqueue	DeltaStayedQueue	DeltaDequeue
1	1082023	1	33	7	33
1	1073194	1	34	5	32
1	1071763	0	33	4	32
1	1072816	1	33	4	33
1	1078918	1	34	2	32
1	1072681	1	34	14	46
1	1076560	1	32	14	32
1	1067083	1	36	11	33
1	1082023	1	32	10	31
1	1076821	1	32	10	32
1	1074706	1	34	8	32
1	1078198	1	33	6	31
1	1076101	1	33	6	33
1	1076083	1	35	4	33
1	1076434	1	34	14	44
1	1077244	1	33	15	34
1	1079341	1	33	14	32
1	1075237	1	33	15	34
1	1076767	1	33	13	31
1	1070188	1	34	11	32
1	1083697	0	33	10	32
1	1081213	1	34	7	31
1	1082302	1	32	6	31

1	1081438	1	33	7	34
1	1082284	1	33	6	32
1	1074085	1	34	2	30
1	1090555	1	33	17	48
1	1074688	1	33	15	31
1	1082275	1	35	14	34
1	1080187	1	33	12	31
1	1076245	1	33	9	30
1	1079530	1	33	12	36
1	1076767	1	34	6	28
1	1072690	1	33	7	34
1	1086514	1	35	4	32
1	1080556	1	32	5	33
1	1076344	1	33	4	32
1	1081654	1	34	2	32
1	1079665	1	33	2	33
1	1077901	1	33	15	46
1	1078657	1	35	12	32
1	1077550	1	32	12	32
1	1085038	2	34	12	34
1	1083742	1	33	12	33
1	1078378	1	33	8	29
1	1076821	1	33	7	32
1	1079728	1	34	4	31
1	1086334	1	32	4	32
1	1084759	1	33	4	33
1	1069801	1	38	15	49
1	1085857	1	32	16	33
1	1072600	1	34	14	32
1	1081915	1	33	12	31

1	1089124	1	33	14	35
1	1080565	1	33	10	29
1	1077649	1	34	8	32
1	1080376	1	33	6	31
1	1089826	1	34	4	32
1	1075345	2	35	1	32
1	1079341	1	33	15	47
1	1085803	1	32	14	31
1	1095028	1	32	14	32
1	1086640	1	32	15	33
1	1090969	1	33	13	31
1	1098754	1	33	10	30
1	1098331	1	33	9	32
1	1098340	1	33	10	34
1	1104406	1	34	7	31
1	1107358	1	33	7	33
1	1108114	1	33	6	32
1	1117798	1	35	2	31
1	1114540	1	33	17	48
1	1121992	1	32	2	17
1	1115935	1	35	14	47
1	1125673	1	33	14	33
1	1108843	1	33	13	32
1	1099330	1	34	11	32
1	1088818	1	33	8	30
1	1081771	1	32	9	33
1	1086307	1	35	5	31
1	1084687	1	32	7	34
1	1081555	1	34	6	33
1	1080232	1	34	4	32

1	1068811	1	43	11	50
1	1058452	1	23	1	13
1	1041451	1	34	14	47
1	1025701	0	32	16	34
1	1001212	1	34	13	31
1	992779	1	33	13	33
1	983239	1	34	9	30
1	984130	1	32	10	33
1	983851	1	34	7	31
1	985084	1	33	4	30
1	985678	1	33	6	35
1	990070	1	33	4	31
1	989458	1	34	16	46
1	988333	1	33	2	19
1	988306	1	34	12	44
1	989584	1	33	15	36
1	989989	0	32	14	31
1	988000	1	35	9	30
1	986569	1	33	9	33
1	991477	1	33	7	31
1	993133	0	34	7	34
1	991234	1	33	5	31
1	991783	1	33	5	33
1	996769	1	34	3	32
1	997642	0	33	17	47
1	1000756	1	33	16	32
1	995590	0	35	12	31
1	1001089	1	33	11	32
1	1006021	1	32	11	32
1	1001332	1	34	10	33
1	1003681	1	33	9	32

1	1003096	1	33	8	32
1	1004887	1	34	6	32
1	995941	1	33	4	31
1	993385	0	32	4	32
1	997516	1	35	2	33
1	1000027	1	33	17	48
1	999928	1	33	16	32
1	994294	1	35	12	31
1	996400	1	32	13	33
1	995860	0	33	13	33
1	1001170	1	35	8	30
1	998191	1	32	6	30
1	995626	1	32	7	33
1	990379	1	35	4	32
1	984277	1	33	6	35
1	992647	1	36	2	32
1	1004257	1	31	1	30
1	1001179	1	32	16	47
1	1016812	1	33	16	33
1	1013329	1	35	13	32
1	1013896	1	33	10	30
1	1036342	1	33	11	34
1	1051030	1	35	8	32
1	1069426	1	33	7	32
1	1089199	1	33	5	31
1	1093582	1	34	4	33
1	1100476	1	33	3	32
1	1102213	1	33	2	32
1	1108702	1	34	15	47
1	1100602	0	32	16	33

1	1111744	1	34	13	31
1	1119061	1	33	11	31
1	1104985	1	34	9	32
1	1103212	1	33	8	32
1	1106614	2	35	5	32
1	1107712	1	33	5	33
1	1101232	1	32	6	33
1	1104292	1	34	1	29
1	1109071	1	33	1	33
1	1104796	1	33	1	33
1	1098388	1	34	15	48
1	1106245	1	33	13	31
1	1104337	1	33	13	33
1	1111573	1	33	10	30
1	1107523	1	34	8	32
1	1110466	1	33	7	32
1	1106857	1	34	6	33
1	1108873	1	33	5	32
1	1105381	1	33	4	32
1	1095472	1	33	17	46
1	1095238	1	34	14	31
1	1083367	1	33	17	36
1	1092178	1	35	11	29
1	1085014	1	33	12	34
1	1091422	1	32	12	32
1	1089271	2	35	9	32
1	1083997	1	32	9	32
1	1085014	1	33	7	31
1	1083700	1	34	4	31
1	1085356	1	34	2	32

1	1083043	1	32	6	36
1	1089406	1	34	2	30
1	1087633	1	34	15	47
1	1086976	1	32	16	33
1	1088830	1	34	13	31
1	1090279	1	33	11	31
1	1090666	1	33	9	31
1	1092817	1	34	9	34
1	1083331	1	33	7	31
1	1084645	1	33	7	33
1	1095949	1	34	4	31
1	1089037	1	33	4	33
1	1087786	1	33	1	30
1	1092016	1	34	16	49
1	1089451	1	33	14	31
1	1090792	1	33	14	33
1	1097695	1	34	11	31
1	1095121	1	33	9	31
1	1095805	1	33	8	32
1	1087417	1	33	6	31
1	1102699	1	34	4	32
1	1097110	1	33	5	34
1	1097470	1	35	16	46
1	1097254	1	32	18	34
1	1100413	1	34	15	31
1	1089577	1	33	14	32
1	1100377	1	33	12	31
1	1105453	1	33	13	34
1	1108639	1	34	11	32
1	1101646	2	33	8	30

1	1109656	1	32	14	38
1	1096705	1	35	7	28
1	1101061	1	32	7	32
1	1107703	1	33	4	30
1	1106083	1	35	16	47
1	1100548	1	33	15	32
1	1101358	0	32	17	34
1	1097785	1	35	13	31
1	1098775	1	33	12	32
1	1108990	1	32	12	32
1	1101493	1	35	11	34
1	1105813	1	32	9	30
1	1099063	1	34	7	32
1	1104769	1	34	5	32
1	1096759	1	33	4	32
1	1100935	1	32	3	31
1	1108036	1	35	0	32
1	1107226	1	33	15	48
1	1101934	1	32	15	32
1	1104544	0	34	13	32
1	1106173	1	34	11	32
1	1101862	1	33	10	32
1	1098100	1	34	8	32
1	1098784	1	33	7	32
1	1102672	1	33	5	31
1	1104103	1	34	3	32
1	1096120	1	33	1	31
1	1107001	1	33	2	34
1	1101268	1	34	16	48
1	1102987	1	33	14	31

1	1098640	1	32	18	36
1	1104796	1	35	11	28
1	1101502	1	32	10	31
1	1100773	1	33	9	32
1	1102177	1	34	7	32
1	1109377	1	34	5	32
1	1090981	1	33	4	32
1	1099567	1	34	2	32
