UTC	Source	FPS	Mbps	Latency EMA	Latency SMA	Alpha	Step	FPS Requirement	Latency Requirement
02.28.27.410	3	0	0	43.7291258529628	40.72	0.5	0.6000001	0	25
02.28.27.414	7	0	0	254005381	508010762	0.5	0.6000001	0	25
02.28.27.419	11	0	0	0	0	0.5	0	0	25
02.28.28.429	3	0	0	43.7291258529628	40.72	0.5	0.6500001	0	25
02.28.28.433	7	0	0	254005381	508010762	0.5	0.6500001	0	25
02.28.28.437	11	0	0	0	0	0.5	0	0	25
02.28.29.448	3	0	0	43.7291258529628	40.72	0.5	0.7000001	0	25
02.28.29.452	7	0	0	254005381	508010762	0.5	0.7000001	0	25
02.28.29.457	11	0	0	0	0	0.5	0	0	25
02.28.30.477	3	0	0	43.7291258529628	40.72	0.5	0.7500001	0	25
02.28.30.482	7	0	0	254005381	508010762	0.5	0.7500001	0	25
02.28.30.487	11	0	0	0	0	0.5	0	0	25
02.28.31.496	3	0	0	43.7291258529628	40.72	0.5	0.8000001	0	25
02.28.31.500	7	0	0	254005381	508010762	0.5	0.8000001	0	25
02.28.31.504	11	0	0	0	0	0.5	0	0	25
02.28.32.515	3	0	0	43.7291258529628	40.72	0.5	0.8500001	0	30
02.28.32.520	7	0	0	254005381	508010762	0.5	0.8500001	0	30
02.28.32.526	11	0	0	0	0	0.5	0	0	30
02.28.33.535	3	0	0	43.7291258529628	40.72	0.5	0.9000002	0	30
02.28.33.539	7	0	0	254005381	508010762	0.5	0.9000002	0	30
02.28.33.545	11	0	0	0	0	0.5	0	0	30
02.28.34.555	3	0	0	43.7291258529628	40.72	0.5	0.95	0	30
02.28.34.561	7	0	0	254005381	508010762	0.5	0.95	0	30
02.28.34.566	11	0	0	0	0	0.5	0	0	30
02.28.35.576	3	0	0	43.7291258529628	40.72	0.5	0.95	0	30
02.28.35.580	7	0	0	254005381	508010762	0.5	0.95	0	30
02.28.35.586	11	0	0	0	0	0.5	0	0	30
02.28.36.596	3	0	0	43.7291258529628	40.72	0.5	0.95	0	30
02.28.36.600	7	0	0	254005381	508010762	0.5	0.95	0	30
02.28.36.604	11	0	0	0	0	0.5	0	0	30
02.28.37.614	3	0	0	43.7291258529628	40.72	0.5	0.95	0	30
02.28.37.618	7	0	0	254005381	508010762	0.5	0.95	0	30
02.28.37.624	11	0	0	0	0	0.5	0	0	30
02.28.38.634	3	0	0	43.7291258529628	40.72	0.5	0.95	0	30
02.28.38.639	7	0	0	254005381	508010762	0.5	0.95	0	30
02.28.38.644	11	0	0	0	0	0.5	0	0	30
02.28.39.654	3	0	0	43.7291258529628	40.72	0.5	0.95	0	30
02.28.39.660	7	0	0	254005381	508010762	0.5	0.95	0	30
02.28.39.665	11	0	0	0	0	0.5	0	0	30
02.28.40.675	3	0	0	43.7291258529628	40.72	0.5	0.95	0	30
02.28.40.680	7	0	0	254005381	508010762	0.5	0.95	0	30
02.28.40.684	11	0	0	0	0	0.5	0	0	30
02.28.41.695	3	0	0	43.7291258529628	40.72	0.5	0.95	0	30
02.28.41.699	7	0	0	254005381	508010762	0.5	0.95	0	30
02.28.41.703	11	0	0	0	0	0.5	0	0	30
02.28.42.713	3	0	0	43.7291258529628	40.72	0.5	0.95	0	30
02.28.42.717	7	0	0	254005381	508010762	0.5	0.95	0	30
