Source	FPS	Mbps	Latency EMA	Latency SMA	Alpha	Step	UTC
4	5.99400599400599	17.1078041958042	99.1519558743699	96.23	0.5	0.8	11.25.29.328
4	2.98210735586481	8.75565805168986	98.7879889685925	96.46	0.5	0.8	11.25.30.333
4	8.99100899100899	27.0782577422577	72.9097421659543	96.39	0.5	0.8	11.25.31.336
4	5.98802395209581	17.967880239521	92.0071073606715	96.49	0.5	0.8	11.25.32.340
4	3.99201596806387	11.1030419161677	94.625444210042	98.08	0.5	0.8	11.25.33.343
4	7.98403193612774	20.4548023952096	103.033693141445	93.95	0.5	0.8	11.25.34.346
4	2.97914597815293	7.3201906653426	84.7584232853614	94.12	0.5	0.8	11.25.35.352
4	5	12.224424	66.7149753638338	93.51	0.5	0.8	11.25.36.355
4	4.9800796812749	12.2361752988048	67.5446859602396	92.7	0.5	0.8	11.25.37.360
4	7.95228628230616	20.3645248508946	77.6495013397661	90.98	0.5	0.8	11.25.38.367
4	7.94438927507448	20.3846991062562	101.256443364608	90.67	0.5	0.8	11.25.39.376
4	5.98802395209581	17.2393293413174	79.988381927572	89.67	0.5	0.8	11.25.40.380
4	8	23.932632	78.6874092338091	88.13	0.5	0.8	11.25.41.381
4	5.96421471172962	18.4043737574553	84.2241203846391	88.42	0.5	0.6	11.25.42.389
4	12.9353233830846	37.1335402985075	97.1782773731408	94.87	0.5	0.6	11.25.43.394
4	13.9303482587065	34.8948298507463	97.6798455284843	93.62	0.5	0.6	11.25.44.402
4	12.9224652087475	32.6718489065606	87.3072948841622	94.96	0.5	0.6	11.25.45.409
4	8.97308075772682	22.7333359920239	79.5413157176603	93.19	0.5	0.6	11.25.46.413
4	14.9402390438247	37.927219123506	71.2030970041332	97.64	0.5	0.6	11.25.47.419
4	12.9224652087475	32.8580039761431	83.7842044796148	99.2	0.5	0.6	11.25.48.428
4	10.9235352532274	27.757084409136	167.478898537344	108.65	0.5	0.6	11.25.49.435
4	15.984015984016	40.6214025974026	120.830070173623	114.22	0.5	0.6	11.25.50.438
4	10.934393638171	27.8060039761431	84.331745622601	112.13	0.5	0.6	11.25.51.446
4	13.8888888888889	35.2658333333333	82.2066852872084	112.69	0.5	0.6	11.25.52.454
4	12	30.455856	85.9239290455504	110.03	0.5	0.6	11.25.53.456
4	11.9284294234592	30.3139324055666	77.4748442296198	110.57	0.5	0.6	11.25.54.464
4	9.97008973080758	25.3336151545364	100.069286805136	106.78	0.5	0.6	11.25.55.467
4	13.9581256231306	35.4437168494516	95.8665182277467	106.63	0.5	0.6	11.25.56.471
4	13.9442231075697	35.4370278884462	124.895194489638	97.09	0.5	0.6	11.25.57.477
4	15.984015984016	40.6552807192807	122.386105200027	93.77	0.5	0.6	11.25.58.479
4	8.95522388059702	22.7579462686567	68.7298692433594	91.09	0.5	0.6	11.25.59.487
4	6.99300699300699	21.4382577422577	96.0614448017319	92.3	0.5	0.6	11.26.00.490
4	10.989010989011	33.4549450549451	93.6660456273446	92.68	0.5	0.6	11.26.01.493
4	12.987012987013	39.6034765234765	98.2279865778354	94.61	0.5	0.4	11.26.02.494
4	17.910447761194	54.3991880597015	209.553239654439	111.64	0.5	0.4	11.26.03.499
4	16.9491525423729	51.378185443669	680.692604877314	152.74	0.5	0.4	11.26.04.503
4	13.9720558882236	38.2584191616766	945.544964148247	210.72	0.5	0.4	11.26.05.506
4	17.9461615154536	45.42963110668	754.943943366731	321.72	0.5	0.4	11.26.06.510
4	15.984015984016	40.5121438561439	734.206862547964	434.12	0.5	0.4	11.26.07.513
4	16.9491525423729	43.128406779661	984.328859000111	611.24	0.5	0.4	11.26.08.518
4	17.9282868525896	46.0447171314741	986.955393439171	795.33	0.5	0.4	11.26.09.524
4	18.9243027888446	48.6487171314741	1373.80050273456	989.24	0.5	0.4	11.26.10.529
4	20.8747514910537	53.6837296222664	1274.81119484913	1137.82	0.5	0.4	11.26.11.537
4	19.9600798403194	51.3250538922156	872.241959958646	1196.57	0.5	0.4	11.26.12.541
4	23.8095238095238	61.3462142857143	565.42441751015	1167.03	0.5	0.4	11.26.13.551
4	20.9371884346959	53.9246979062812	1042.0021679041	1128.06	0.5	0.4	11.26.14.556
4	22.9312063808574	59.0432781655035	1673.77917611625	1084.75	0.5	0.4	11.26.15.561
4	23.976023976024	61.7174505494505	147.655154340839	861.75	0.5	0.4	11.26.16.564
4	15.9203980099502	40.9762626865672	105.500653496966	730.19	0.5	0.4	11.26.17.570
4	16.9491525423729	49.2005982053838	187.224601755577	628.69	0.5	0.4	11.26.18.572
4	15.9203980099502	47.8690626865672	137.735284611525	437.01	0.5	0.3	11.26.19.577
4	16.9660678642715	51.029005988024	364.301450617101	312.81	0.5	0.3	11.26.20.581
4	13.9581256231306	41.7937866400798	319.702551446609	250.18	0.5	0.3	11.26.21.586
4	15.9045725646123	42.2040477137177	1138.6273605736	278.86	0.5	0.3	11.26.22.593
4	21.9560878243513	55.816119760479	957.327176692353	421.82	0.5	0.3	11.26.23.596
4	25.8706467661692	66.0782805970149	574.844301318037	580.44	0.5	0.3	11.26.24.602
4	22.9083665338645	59.6545577689243	387.22979592813	738.5	0.5	0.3	11.26.25.608
4	22.9540918163673	69.0320239520958	328.789450223397	754.74	0.5	0.3	11.26.26.611
